ID,Title,Artist,Album,File_Path,Cover_Path,First_Comment,Lowest_Pitch,First_Quartile_Pitch,Medium_Pitch,Third_Quartile_Pitch,Highest_Pitch
16,海膽,Eason Chan,C'mon in~,./Music/C'mon In~/Eason Chan - 海膽.mp3,./Cover/C'mon in~.jpg,https://music.youtube.com/watch?v=DGAOSpUXnFc,47,59,61,66,71
17,誰來剪月光,Eason Chan,C'mon in~,./Music/C'mon In~/Eason Chan - 誰來剪月光.mp3,./Cover/C'mon in~.jpg,https://music.youtube.com/watch?v=JQ-NrBSlwas,46,53,56,60,63
18,零下幾分鐘,Eason Chan,C'mon in~,./Music/C'mon In~/Eason Chan - 零下幾分鐘.mp3,./Cover/C'mon in~.jpg,https://music.youtube.com/watch?v=eEezCtaePak,44,53,56,60,68
19,Folk Song for You,DSPS,Fully I,./Music/Fully I/DSPS - Folk Song for You.mp3,./Cover/Fully I.jpg,https://music.youtube.com/watch?v=WuyWFLnLv6w,50,61,64,69,73
20,Fully I,DSPS,Fully I,./Music/Fully I/DSPS - Fully I.mp3,./Cover/Fully I.jpg,https://music.youtube.com/watch?v=uP9lwIkNsVs,60,64,65,68,72
21,三月的街頭,DSPS,Fully I,./Music/Fully I/DSPS - 三月的街頭.mp3,./Cover/Fully I.jpg,https://www.youtube.com/watch?v=bpAZFEXHmGI,54,63,66,66,82
22,土耳其藍的夢,DSPS,Fully I,./Music/Fully I/DSPS - 土耳其藍的夢.mp3,./Cover/Fully I.jpg,https://music.youtube.com/watch?v=TbqM2ILGsf8,43,62,65,66,69
23,It's True,Tanya Chua,Goodbye & Hello,./Music/Goodbye & Hello/Tanya Chua - It's True.mp3,./Cover/Goodbye & Hello.jpg,https://www.youtube.com/watch?v=kXBp1OC9NqA,47,61,64,75,78
24,化學實驗,Tanya Chua,Goodbye & Hello,./Music/Goodbye & Hello/Tanya Chua - 化學實驗.mp3,./Cover/Goodbye & Hello.jpg,https://www.youtube.com/watch?v=9T1gAFUBLYo,52,62,66,69,74
25,如果你愛我,Tanya Chua,Goodbye & Hello,./Music/Goodbye & Hello/Tanya Chua - 如果你愛我.mp3,./Cover/Goodbye & Hello.jpg,https://music.youtube.com/watch?v=xMXNeIFFXUE,58,63,63,66,72
26,晨間新聞,Tanya Chua,Goodbye & Hello,./Music/Goodbye & Hello/Tanya Chua - 晨間新聞.mp3,./Cover/Goodbye & Hello.jpg,https://www.youtube.com/watch?v=hcM-Rv0PWlg,50,61,62,65,69
27,當你離開的時候,Tanya Chua,Goodbye & Hello,./Music/Goodbye & Hello/Tanya Chua - 當你離開的時候.mp3,./Cover/Goodbye & Hello.jpg,https://www.youtube.com/watch?v=52U1uuJ81hI,52,59,62,67,72
28,空白格,Tanya Chua,Goodbye & Hello,./Music/Goodbye & Hello/Tanya Chua - 空白格.mp3,./Cover/Goodbye & Hello.jpg,https://www.youtube.com/watch?v=9WITrbs--WY,52,60,62,65,72
29,越來越不懂,Tanya Chua,Goodbye & Hello,./Music/Goodbye & Hello/Tanya Chua - 越來越不懂.mp3,./Cover/Goodbye & Hello.jpg,https://www.youtube.com/watch?v=pLXrBGh_e1g,55,60,61,63,69
30,達爾文,Tanya Chua,Goodbye & Hello,./Music/Goodbye & Hello/Tanya Chua - 達爾文.mp3,./Cover/Goodbye & Hello.jpg,https://www.youtube.com/watch?v=Fkc4mgo1p6A,50,59,62,66,71
31,4:00A.M.,Hormone Boys,Hormone Boys,./Music/Hormone Boys/Hormone Boys - 4-00A.M..mp3,./Cover/Hormone Boys.jpg,https://music.youtube.com/watch?v=0rj9o1k5kKA,50,57,61,64,76
32,傾雨,Hormone Boys,Hormone Boys,./Music/Hormone Boys/Hormone Boys - 傾雨.mp3,./Cover/Hormone Boys.jpg,https://www.youtube.com/watch?v=VUx0Oh-jrI4,56,59,62,66,83
33,躁鬱症,Hormone Boys,Hormone Boys,./Music/Hormone Boys/Hormone Boys - 躁鬱症.mp3,./Cover/Hormone Boys.jpg,https://www.youtube.com/watch?v=boFXSapoOgU,43,55,60,62,73
34,馬克白,Hormone Boys,Hormone Boys,./Music/Hormone Boys/Hormone Boys - 馬克白.mp3,./Cover/Hormone Boys.jpg,https://www.youtube.com/watch?v=Mj8OACJWX3U,45,55,61,63,81
35,Always Online,JJ Lin,JJ陸,./Music/JJ陸/JJ Lin - Always Online.mp3,./Cover/JJ陸.jpg,https://www.youtube.com/watch?v=ZPg9yv5LR3s,52,59,60,64,72
36,Cries In A Distance,JJ Lin,JJ陸,./Music/JJ陸/JJ Lin - Cries In A Distance.mp3,./Cover/JJ陸.jpg,https://www.youtube.com/watch?v=iPuNkhfyv7Y,45,59,60,64,72
37,Sixology,JJ Lin,JJ陸,./Music/JJ陸/JJ Lin - Sixology.mp3,./Cover/JJ陸.jpg,https://www.youtube.com/watch?v=olF6Z7yk1cI,50,57,61,62,68
38,不潮不用花錢,JJ Lin,JJ陸,./Music/JJ陸/JJ Lin - 不潮不用花錢.mp3,./Cover/JJ陸.jpg,https://www.youtube.com/watch?v=_2wzetDvVL0,46,60,62,65,77
39,愛與希望,JJ Lin,JJ陸,./Music/JJ陸/JJ Lin - 愛與希望.mp3,./Cover/JJ陸.jpg,https://www.youtube.com/watch?v=0za3MuE1xRU,45,57,59,62,66
40,我還想她,JJ Lin,JJ陸,./Music/JJ陸/JJ Lin - 我還想她.mp3,./Cover/JJ陸.jpg,https://www.youtube.com/watch?v=B3DAVTpalvg,54,57,61,64,69
41,街道,JJ Lin,JJ陸,./Music/JJ陸/JJ Lin - 街道.mp3,./Cover/JJ陸.jpg,https://www.youtube.com/watch?v=uv61cew9eQA,49,57,62,64,81
42,黑武士,JJ Lin,JJ陸,./Music/JJ陸/JJ Lin - 黑武士.mp3,./Cover/JJ陸.jpg,https://www.youtube.com/watch?v=W5qMMtovggE,55,60,63,65,72
43,點一把火炬,JJ Lin,JJ陸,./Music/JJ陸/JJ Lin - 點一把火炬.mp3,./Cover/JJ陸.jpg,https://www.youtube.com/watch?v=nWl_-Pm-zdQ,49,57,61,62,71
44,小酒窩,JJ Lin/Charlene Choi,JJ陸,"./Music/JJ陸/JJ Lin, Charlene Choi - 小酒窩.mp3",./Cover/JJ陸.jpg,https://www.youtube.com/watch?v=ImdaQz3sYMA,51,58,62,63,68
45,由你選擇,JJ Lin/Fama,JJ陸,"./Music/JJ陸/JJ Lin, Fama - 由你選擇.mp3",./Cover/JJ陸.jpg,https://www.youtube.com/watch?v=N05LHFs_Zn0,45,60,62,64,79
46,期待你的愛,JJ Lin/金莎,JJ陸,"./Music/JJ陸/JJ Lin, 金莎 - 期待你的愛.mp3",./Cover/JJ陸.jpg,https://www.youtube.com/watch?v=sum5Re8sPM4,46,58,62,65,80
47,Love Love Love,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - Love Love Love.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=BkbwGjcnUeY,46,62,63,67,75
48,Oh! Oh!,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - Oh! Oh!.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=ckqeYEzcees,48,64,67,69,73
49,Prove It,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - Prove It.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=QrAugH71Res,45,60,66,67,82
50,倒帶,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 倒帶.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=USO9dqYJCH0,48,60,62,65,69
51,做一天的你,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 做一天的你.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=2mVdiJZGcAg,43,62,65,67,69
52,反覆記號,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 反覆記號.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=y9uznuuZXz4,56,61,63,65,70
53,單身公害,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 單身公害.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=O8vWhFI9Z9Q,57,63,70,70,75
54,天空,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 天空.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=N8zcK5eMxyo,53,60,65,67,72
55,好想你,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 好想你.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=UQGJJ6n5JNA,55,59,64,68,71
56,始作俑者,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 始作俑者.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=aod4jCdpyRo,54,60,65,67,72
57,就是愛,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 就是愛.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=r9snhgztfCw,46,62,62,66,71
58,愛情36計,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 愛情36計.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=gxCg6n8nSQw,54,61,64,66,71
59,招牌動作,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 招牌動作.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=smhv9huNm9w,60,65,67,69,76
60,檸檬草的味道,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 檸檬草的味道.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=VawYSHtExmM,55,62,66,68,72
61,海盜,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 海盜.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=rOjdS33Wk5E,48,58,63,68,79
62,爆米花的味道,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 爆米花的味道.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=TX_Q5IaNgOw,55,62,65,67,77
63,獨佔神話,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 獨佔神話.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=oAC3fiJk4h0,56,61,65,68,77
64,看我72變,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 看我72變.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=bXRTKFYT5k8,55,62,65,68,72
65,睜一隻眼閉一隻眼(OT: I Did It Again),Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 睜一隻眼閉一隻眼(OT- I Did It Again).mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=Nq2Iu57GrxI,55,60,63,63,70
66,許願池的希臘少女,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 許願池的希臘少女.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=CcF6I0hE_KA,56,62,62,64,68
67,說愛你,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 說愛你.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=V78svunVYuw,48,60,63,64,70
68,酸甜,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 酸甜.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=8_vI1Ym6tvQ,58,62,65,65,70
69,野蠻遊戲,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 野蠻遊戲.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=Mb8GnD8Ky58,53,65,65,70,72
70,騎士精神,Jolin Tsai,J女神 影音典藏精选,./Music/J女神 影音典藏精選/Jolin Tsai - 騎士精神.mp3,./Cover/J女神 影音典藏精选.jpg,https://music.youtube.com/watch?v=j5-vMg4ta7c,55,62,62,67,79
71,920 (feat.小宇),A-Lin/Xiao Yu,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 920 (feat.小宇).mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=5Vx8klJ9SmA,43,57,63,69,71
72,Beautiful,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - Beautiful.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=5ZbSS7NvHUA,51,63,64,67,73
73,Lin極限,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - Lin極限.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=r4vz9rcxZEU,43,62,64,71,72
74,P.S.我愛你,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - P.S.我愛你.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=St22qwRUJA4,53,63,67,70,72
75,Purple Rain,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - Purple Rain.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=bV9G9shJj4c,53,60,65,67,72
76,Woman in Love,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - Woman in Love.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=Q9NJzkSiFEM,47,62,65,66,73
77,一瞬之光,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 一瞬之光.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://www.youtube.com/watch?v=aXNNm57RIoY,50,60,65,70,76
78,不是不滿足,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 不是不滿足.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://www.youtube.com/watch?v=j_VQnO_bqRw,53,65,67,70,81
79,今晚你想念的人是不是我 - 2011 A-Lin Legacy Live,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 今晚你想念的人是不是我 - 2011 A-Lin Legacy Live.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=PxaLXldzqc4,51,61,66,69,75
80,今晚你想念的人是不是我,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 今晚你想念的人是不是我.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=PxaLXldzqc4,51,61,66,69,75
81,"以前,以後",A-Lin,Love Song (出道十周年情歌精選),"./Music/Love Song (出道十周年情歌精選)/A-Lin - 以前,以後.mp3",./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=PIC-wALTr4I,51,61,66,69,75
82,位置,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 位置.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=J1du1ZHLyzU,54,64,66,68,72
83,做我自己,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 做我自己.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=N7u0auakQwY,55,60,68,69,73
84,偽裝,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 偽裝.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=TqJjHmpSMA4,55,64,67,70,79
85,分手需要練習的 - 2011 A-Lin Legacy Live,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 分手需要練習的 - 2011 A-Lin Legacy Live.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=jVvGFWazGjU,54,63,66,70,73
86,分手需要練習的,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 分手需要練習的.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=jVvGFWazGjU,54,63,66,70,73
87,勇敢的不是我,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 勇敢的不是我.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=YRd5n6FXyxo,55,63,67,69,74
88,四季,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 四季.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=PMKetP0TRys,56,62,66,68,75
89,回家,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 回家.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=m-MXHshshx8,55,63,66,68,73
90,圍城,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 圍城.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=2OKj5d_8xJw,51,61,66,70,80
91,大大的擁抱,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 大大的擁抱.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://www.youtube.com/watch?v=e-TU7EZDESk,45,62,62,66,81
92,失戀無罪 - A-Lin 2013 Feel-Lin Live,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 失戀無罪 - A-Lin 2013 Feel-Lin Live.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://www.youtube.com/watch?v=_b4mk8sZ84M,46,65,68,72,82
93,失戀無罪,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 失戀無罪.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=KoPgtbXTWUU,46,65,68,70,75
94,好朋友的祝福,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 好朋友的祝福.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=sq02gkPitRI,51,60,64,67,79
95,寂寞不痛 - A-Lin 2013 Feel-Lin Live,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 寂寞不痛 - A-Lin 2013 Feel-Lin Live.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://www.youtube.com/watch?v=WJzRZ4GKWSU,52,63,68,70,73
96,寂寞不痛,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 寂寞不痛.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=JSEPwlfCYuY,51,63,67,70,75
97,幸福了 然後呢,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 幸福了 然後呢.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=hSTueoSA7Ck,48,60,63,66,82
98,後來你好嗎,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 後來你好嗎.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://www.youtube.com/watch?v=NkDphhI0sh4,53,61,66,70,75
99,愛 請問怎麼走,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 愛 請問怎麼走.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://www.youtube.com/watch?v=RFJkmUpQk8A,48,63,66,69,74
100,懂得,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 懂得.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=j6ZASANtx6s,46,60,65,67,72
101,我們會更好的,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 我們會更好的.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://www.youtube.com/watch?v=9YBCgOan-_8,50,62,65,67,74
102,我很忙,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 我很忙.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://www.youtube.com/watch?v=R2JHiMzQx8g,54,60,64,69,73
103,我能體諒 - 2011 A-Lin Legacy Live,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 我能體諒 - 2011 A-Lin Legacy Live.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://www.youtube.com/watch?v=_nc_-SVsrBI,56,63,66,68,73
104,我能體諒,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 我能體諒.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=xkQ_6ceLtOE,56,64,66,69,73
105,抱緊一點,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 抱緊一點.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=YLoqwDjiOns,53,65,68,70,80
106,換季,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 換季.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=m-MXHshshx8,55,63,66,68,73
107,最後的天堂,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 最後的天堂.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=z4VR_GqtNys,44,60,63,65,70
108,每一個我,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 每一個我.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://www.youtube.com/watch?v=Jgvu4HvD51g,56,61,64,66,73
109,溫柔累了,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 溫柔累了.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=ENhktsXdXfo,53,64,67,69,79
110,無路可退,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 無路可退.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://www.youtube.com/watch?v=w1N4mwR3dv8,54,63,66,68,76
111,現在我很幸福,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 現在我很幸福.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=Z8g4OeQWwPQ,54,61,63,68,72
112,笑笑的,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 笑笑的.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://music.youtube.com/watch?v=x-XmrIp0e9I,47,59,66,69,74
113,等你,A-Lin,Love Song (出道十周年情歌精選),./Music/Love Song (出道十周年情歌精選)/A-Lin - 等你.mp3,./Cover/Love Song (出道十周年情歌精選).jpg,https://www.youtube.com/watch?v=UAllJjzEHss,58,63,67,68,70
